seq_id,seq,entity_nodes_for_logkeys,action_nodes_for_logkeys,status_nodes_for_logkeys
0,"['20', '20', '20', '20', '6', '6', '6', '20', '20', '20', '6', '6', '6', '1', '1', '5', '5', '20', '20', '20', '1', '1', '5', '5', '20', '1', '1', '5', '5', '20', '20', '20', '1', '1', '5', '5']","[Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,User_80,User_80,Sshd_228,Sshd_228,Kernel_43,Kernel_43,Kernel_43,User_80,User_80,Sshd_228,Sshd_228,Kernel_43,User_80,User_80,Sshd_228,Sshd_228,Kernel_43,Kernel_43,Kernel_43,User_80,User_80,Sshd_228,Sshd_228]","[Finding_100,Finding_100,Finding_100,Finding_100,Failed_96,Failed_96,Failed_96,Finding_100,Finding_100,Finding_100,Failed_96,Failed_96,Failed_96,Opened_309,Opened_309,Connecting_786,Connecting_786,Finding_100,Finding_100,Finding_100,Opened_309,Opened_309,Connecting_786,Connecting_786,Finding_100,Opened_309,Opened_309,Connecting_786,Connecting_786,Finding_100,Finding_100,Finding_100,Opened_309,Opened_309,Connecting_786,Connecting_786]","[in_254,in_254,in_254,in_254,fatal error_247,fatal error_247,fatal error_247,in_254,in_254,in_254,fatal error_247,fatal error_247,fatal error_247,none_545,none_545,none_1134,none_1134,in_254,in_254,in_254,none_545,none_545,none_1134,none_1134,in_254,none_545,none_545,none_1134,none_1134,in_254,in_254,in_254,none_545,none_545,none_1134,none_1134]"
1,"['20', '20', '20', '20', '6', '6', '6', '20', '20', '20', '6', '6', '6', '1', '1', '5', '5', '20', '20', '20', '1', '1', '5', '5', '20', '1', '1', '5', '5', '20', '20', '20', '1', '1', '5', '5']","[Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,User_80,User_80,Sshd_228,Sshd_228,Kernel_43,Kernel_43,Kernel_43,User_80,User_80,Sshd_228,Sshd_228,Kernel_43,User_80,User_80,Sshd_228,Sshd_228,Kernel_43,Kernel_43,Kernel_43,User_80,User_80,Sshd_228,Sshd_228]","[Finding_100,Finding_100,Finding_100,Finding_100,Failed_96,Failed_96,Failed_96,Finding_100,Finding_100,Finding_100,Failed_96,Failed_96,Failed_96,Opened_309,Opened_309,Connecting_786,Connecting_786,Finding_100,Finding_100,Finding_100,Opened_309,Opened_309,Connecting_786,Connecting_786,Finding_100,Opened_309,Opened_309,Connecting_786,Connecting_786,Finding_100,Finding_100,Finding_100,Opened_309,Opened_309,Connecting_786,Connecting_786]","[in_254,in_254,in_254,in_254,fatal error_247,fatal error_247,fatal error_247,in_254,in_254,in_254,fatal error_247,fatal error_247,fatal error_247,none_545,none_545,none_1134,none_1134,in_254,in_254,in_254,none_545,none_545,none_1134,none_1134,in_254,none_545,none_545,none_1134,none_1134,in_254,in_254,in_254,none_545,none_545,none_1134,none_1134]"
2,"['20', '20', '20', '6', '6', '6', '20', '20', '20', '652', '6', '6', '6', '1', '1', '5', '5', '20', '20', '20', '1', '1', '5', '5', '20', '1', '1', '5', '5', '20', '20', '20', '1', '1', '5', '5']","[Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,User_80,User_80,Sshd_228,Sshd_228,Kernel_43,Kernel_43,Kernel_43,User_80,User_80,Sshd_228,Sshd_228,Kernel_43,User_80,User_80,Sshd_228,Sshd_228,Kernel_43,Kernel_43,Kernel_43,User_80,User_80,Sshd_228,Sshd_228]","[Finding_100,Finding_100,Finding_100,Failed_96,Failed_96,Failed_96,Finding_100,Finding_100,Finding_100,Checking_91,Failed_96,Failed_96,Failed_96,Opened_309,Opened_309,Connecting_786,Connecting_786,Finding_100,Finding_100,Finding_100,Opened_309,Opened_309,Connecting_786,Connecting_786,Finding_100,Opened_309,Opened_309,Connecting_786,Connecting_786,Finding_100,Finding_100,Finding_100,Opened_309,Opened_309,Connecting_786,Connecting_786]","[in_254,in_254,in_254,fatal error_247,fatal error_247,fatal error_247,in_254,in_254,in_254,none_231,fatal error_247,fatal error_247,fatal error_247,none_545,none_545,none_1134,none_1134,in_254,in_254,in_254,none_545,none_545,none_1134,none_1134,in_254,none_545,none_545,none_1134,none_1134,in_254,in_254,in_254,none_545,none_545,none_1134,none_1134]"
3,"['20', '20', '6', '20', '20', '20', '20', '6', '6', '6', '6', '20', '6', '1', '1', '5', '5', '20', '20', '20', '1', '1', '5', '5', '20', '1', '5', '5', '20', '1', '20', '1', '1', '5', '5', '20']","[Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,User_80,User_80,Sshd_228,Sshd_228,Kernel_43,Kernel_43,Kernel_43,User_80,User_80,Sshd_228,Sshd_228,Kernel_43,User_80,Sshd_228,Sshd_228,Kernel_43,User_80,Kernel_43,User_80,User_80,Sshd_228,Sshd_228,Kernel_43]","[Finding_100,Finding_100,Failed_96,Finding_100,Finding_100,Finding_100,Finding_100,Failed_96,Failed_96,Failed_96,Failed_96,Finding_100,Failed_96,Opened_309,Opened_309,Connecting_786,Connecting_786,Finding_100,Finding_100,Finding_100,Opened_309,Opened_309,Connecting_786,Connecting_786,Finding_100,Opened_309,Connecting_786,Connecting_786,Finding_100,Opened_309,Finding_100,Opened_309,Opened_309,Connecting_786,Connecting_786,Finding_100]","[in_254,in_254,fatal error_247,in_254,in_254,in_254,in_254,fatal error_247,fatal error_247,fatal error_247,fatal error_247,in_254,fatal error_247,none_545,none_545,none_1134,none_1134,in_254,in_254,in_254,none_545,none_545,none_1134,none_1134,in_254,none_545,none_1134,none_1134,in_254,none_545,in_254,none_545,none_545,none_1134,none_1134,in_254]"
4,"['20', '20', '6', '20', '20', '20', '6', '6', '6', '20', '20', '6', '6', '1', '1', '5', '5', '20', '20', '1', '1', '5', '5', '20', '20', '20', '1', '1', '5', '5', '20', '1', '1', '5', '5', '20']","[Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,User_80,User_80,Sshd_228,Sshd_228,Kernel_43,Kernel_43,User_80,User_80,Sshd_228,Sshd_228,Kernel_43,Kernel_43,Kernel_43,User_80,User_80,Sshd_228,Sshd_228,Kernel_43,User_80,User_80,Sshd_228,Sshd_228,Kernel_43]","[Finding_100,Finding_100,Failed_96,Finding_100,Finding_100,Finding_100,Failed_96,Failed_96,Failed_96,Finding_100,Finding_100,Failed_96,Failed_96,Opened_309,Opened_309,Connecting_786,Connecting_786,Finding_100,Finding_100,Opened_309,Opened_309,Connecting_786,Connecting_786,Finding_100,Finding_100,Finding_100,Opened_309,Opened_309,Connecting_786,Connecting_786,Finding_100,Opened_309,Opened_309,Connecting_786,Connecting_786,Finding_100]","[in_254,in_254,fatal error_247,in_254,in_254,in_254,fatal error_247,fatal error_247,fatal error_247,in_254,in_254,fatal error_247,fatal error_247,none_545,none_545,none_1134,none_1134,in_254,in_254,none_545,none_545,none_1134,none_1134,in_254,in_254,in_254,none_545,none_545,none_1134,none_1134,in_254,none_545,none_545,none_1134,none_1134,in_254]"
5,"['18', '419', '626', '526', '526', '517', '613', '648', '419', '421', '421', '35', '869', '528', '528', '662', '626', '902', '419', '421', '526', '526', '526', '526', '613', '613', '613', '648', '419', '419', '419', '419', '421', '421', '421', '421', '35', '528', '528', '528', '528', '526', '419', '421', '528']","[Ntpd_178,Kernel_43,Device_102,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Syslogd_235,Device_102,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43]","[Synchronized_589,none_72,none_356,I/oError_164,I/oError_164,Error_108,Error_108,Remounting_165,none_72,End_166,End_166,none_72,Commit_167,Write_168,Write_168,Reading_806,none_356,UnableToRead_169,none_72,End_166,I/oError_164,I/oError_164,I/oError_164,I/oError_164,Error_108,Error_108,Error_108,Remounting_165,none_72,none_72,none_72,none_72,End_166,End_166,End_166,End_166,none_72,Write_168,Write_168,Write_168,Write_168,I/oError_164,none_72,End_166,Write_168]","[none_897,error_100,none_599,error_373,error_373,none_270,none_271,read-only_374,error_100,I/O error_375,I/O error_375,none_165,I/O error_376,I/O error_377,I/O error_377,read-only_1160,none_599,error_380,error_100,I/O error_375,error_373,error_373,error_373,error_373,none_271,none_271,none_271,read-only_374,error_100,error_100,error_100,error_100,I/O error_375,I/O error_375,I/O error_375,I/O error_375,none_165,I/O error_377,I/O error_377,I/O error_377,I/O error_377,error_373,error_100,I/O error_375,I/O error_377]"
6,"['626', '626', '526', '526', '517', '613', '648', '419', '421', '35', '869', '528', '528', '875', '333', '333', '859', '859', '551', '551', '551', '933', '526', '526', '528', '528', '551', '551', '613', '648', '35']","[Device_102,Device_102,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Megaraid_49,Megaraid_49,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43]","[none_356,none_356,I/oError_164,I/oError_164,Error_108,Error_108,Remounting_165,none_72,End_166,none_72,Commit_167,Write_168,Write_168,none_72,Probing_90,Probing_90,Resetting_240,Resetting_240,Rejecting_151,Rejecting_151,Rejecting_151,Transitioningtomaster_155,I/oError_164,I/oError_164,Write_168,Write_168,Rejecting_151,Rejecting_151,Error_108,Remounting_165,none_72]","[none_599,none_599,error_373,error_373,none_270,none_271,read-only_374,error_100,I/O error_375,none_165,I/O error_376,I/O error_377,I/O error_377,none_139,none_229,none_229,none_464,none_464,offline_347,offline_347,offline_347,error_354,error_373,error_373,I/O error_377,I/O error_377,offline_347,offline_347,none_271,read-only_374,none_165]"
7,"['517', '1', '5']","[Kernel_43,User_80,Sshd_228]","[Error_108,Opened_309,Connecting_786]","[none_270,none_545,none_1134]"
8,"['526', '526', '1057', '517', '613', '648', '528', '528', '551', '551', '551', '1164', '526', '526', '613', '613', '613', '648', '35', '528', '528', '551', '551', '526', '526', '528', '528', '551', '551', '372']","[Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,Kernel_43,FileSystem_114]","[I/oError_164,I/oError_164,Initiating_150,Error_108,Error_108,Remounting_165,Write_168,Write_168,Rejecting_151,Rejecting_151,Rejecting_151,Registered_152,I/oError_164,I/oError_164,Error_108,Error_108,Error_108,Remounting_165,none_72,Write_168,Write_168,Rejecting_151,Rejecting_151,I/oError_164,I/oError_164,Write_168,Write_168,Rejecting_151,Rejecting_151,Read-only_391]","[error_373,error_373,none_346,none_270,none_271,read-only_374,I/O error_377,I/O error_377,offline_347,offline_347,offline_347,error_348,error_373,error_373,none_271,none_271,none_271,read-only_374,none_165,I/O error_377,I/O error_377,offline_347,offline_347,error_373,error_373,I/O error_377,I/O error_377,offline_347,offline_347,none_645]"
9,"['517', '1', '5', '662']","[Kernel_43,User_80,Sshd_228,Syslogd_235]","[Error_108,Opened_309,Connecting_786,Reading_806]","[none_270,none_545,none_1134,read-only_1160]"
