,seq_id,seq,entity_nodes_for_logkeys,action_nodes_for_logkeys,status_nodes_for_logkeys
0,44420,"['10', '2', '9', '2', '10', '2', '9', '2']","[ServerAdministrator_72,Snmpd_226,ServerAdministrator_72,Snmpd_226,ServerAdministrator_72,Snmpd_226,ServerAdministrator_72,Snmpd_226]","[ReturningTo_290,Receiving_748,Initialize_291,Receiving_748,ReturningTo_290,Receiving_748,Initialize_291,Receiving_748]","[normal_525,none_1082,none_526,none_1082,normal_525,none_1082,none_526,none_1082]"
1,52838,"['10', '2', '9', '2', '10', '2', '9', '2', '10', '2', '9', '2', '10', '2', '9', '2']","[ServerAdministrator_72,Snmpd_226,ServerAdministrator_72,Snmpd_226,ServerAdministrator_72,Snmpd_226,ServerAdministrator_72,Snmpd_226,ServerAdministrator_72,Snmpd_226,ServerAdministrator_72,Snmpd_226,ServerAdministrator_72,Snmpd_226,ServerAdministrator_72,Snmpd_226]","[ReturningTo_290,Receiving_748,Initialize_291,Receiving_748,ReturningTo_290,Receiving_748,Initialize_291,Receiving_748,ReturningTo_290,Receiving_748,Initialize_291,Receiving_748,ReturningTo_290,Receiving_748,Initialize_291,Receiving_748]","[normal_525,none_1082,none_526,none_1082,normal_525,none_1082,none_526,none_1082,normal_525,none_1082,none_526,none_1082,normal_525,none_1082,none_526,none_1082]"
2,76734,"['10', '2', '9', '2', '10', '2', '9', '2']","[ServerAdministrator_72,Snmpd_226,ServerAdministrator_72,Snmpd_226,ServerAdministrator_72,Snmpd_226,ServerAdministrator_72,Snmpd_226]","[ReturningTo_290,Receiving_748,Initialize_291,Receiving_748,ReturningTo_290,Receiving_748,Initialize_291,Receiving_748]","[normal_525,none_1082,none_526,none_1082,normal_525,none_1082,none_526,none_1082]"
3,92155,"['1', '8', '29', '42', '4', '45', '46']","[User_80,Crond_94,Sendmail_222,Sendmail_222,User_80,Sendmail_222,Sendmail_222]","[Opened_309,Register_340,Retrying_704,UnableToQualifyDomainName_719,Register_307,SendingEmail_715,Start_709]","[none_545,none_582,unknown_1029,error_1048,none_543,none_1044,deferred_1035]"
4,76870,"['10', '2', '9', '2']","[ServerAdministrator_72,Snmpd_226,ServerAdministrator_72,Snmpd_226]","[ReturningTo_290,Receiving_748,Initialize_291,Receiving_748]","[normal_525,none_1082,none_526,none_1082]"
5,94642,"['1', '8', '29', '16', '16', '1', '5', '16', '42', '4', '45', '46', '118', '58', '36', '36', '63', '16', '36', '58', '58', '36', '36', '63', '36', '58', '58', '36', '36', '63']","[User_80,Crond_94,Sendmail_222,Xinetd_256,Xinetd_256,User_80,Sshd_228,Xinetd_256,Sendmail_222,User_80,Sendmail_222,Sendmail_222,Client_92,Dhcpd_106,Dhcpd_106,Dhcpd_106,Dhcpd_106,Xinetd_256,Dhcpd_106,Dhcpd_106,Dhcpd_106,Dhcpd_106,Dhcpd_106,Dhcpd_106,Dhcpd_106,Dhcpd_106,Dhcpd_106,Dhcpd_106,Dhcpd_106,Dhcpd_106]","[Opened_309,Register_340,Retrying_704,none_835,none_835,Opened_309,Connecting_786,none_835,UnableToQualifyDomainName_719,Register_307,SendingEmail_715,Start_709,DoesNotAccept_335,Dhcpdiscover_367,none_368,none_368,Settingup_376,none_835,none_368,Dhcpdiscover_367,Dhcpdiscover_367,none_368,none_368,Settingup_376,none_368,Dhcpdiscover_367,Dhcpdiscover_367,none_368,none_368,Settingup_376]","[none_545,none_582,unknown_1029,none_1190,none_1190,none_545,none_1134,none_1190,error_1048,none_543,none_1044,deferred_1035,none_573,none_614,none_616,none_616,none_630,none_1190,none_616,none_614,none_614,none_616,none_616,none_630,none_616,none_614,none_614,none_616,none_616,none_630]"
6,70299,"['4', '1', '8']","[User_80,User_80,Crond_94]","[Register_307,Opened_309,Register_340]","[none_543,none_545,none_582]"
7,70970,"['9', '2', '10', '2', '9', '2']","[ServerAdministrator_72,Snmpd_226,ServerAdministrator_72,Snmpd_226,ServerAdministrator_72,Snmpd_226]","[Initialize_291,Receiving_748,ReturningTo_290,Receiving_748,Initialize_291,Receiving_748]","[none_526,none_1082,normal_525,none_1082,none_526,none_1082]"
8,82564,"['9', '2', '10', '2', '9', '2', '10', '2', '9', '2', '10', '2', '9', '2']","[ServerAdministrator_72,Snmpd_226,ServerAdministrator_72,Snmpd_226,ServerAdministrator_72,Snmpd_226,ServerAdministrator_72,Snmpd_226,ServerAdministrator_72,Snmpd_226,ServerAdministrator_72,Snmpd_226,ServerAdministrator_72,Snmpd_226]","[Initialize_291,Receiving_748,ReturningTo_290,Receiving_748,Initialize_291,Receiving_748,ReturningTo_290,Receiving_748,Initialize_291,Receiving_748,ReturningTo_290,Receiving_748,Initialize_291,Receiving_748]","[none_526,none_1082,normal_525,none_1082,none_526,none_1082,normal_525,none_1082,none_526,none_1082,normal_525,none_1082,none_526,none_1082]"
9,90539,"['9', '2', '10', '2']","[ServerAdministrator_72,Snmpd_226,ServerAdministrator_72,Snmpd_226]","[Initialize_291,Receiving_748,ReturningTo_290,Receiving_748]","[none_526,none_1082,normal_525,none_1082]"
10,95112,"['9', '2', '10', '2', '9', '2', '10', '2', '9', '2']","[ServerAdministrator_72,Snmpd_226,ServerAdministrator_72,Snmpd_226,ServerAdministrator_72,Snmpd_226,ServerAdministrator_72,Snmpd_226,ServerAdministrator_72,Snmpd_226]","[Initialize_291,Receiving_748,ReturningTo_290,Receiving_748,Initialize_291,Receiving_748,ReturningTo_290,Receiving_748,Initialize_291,Receiving_748]","[none_526,none_1082,normal_525,none_1082,none_526,none_1082,normal_525,none_1082,none_526,none_1082]"
11,66541,"['4', '1', '8']","[User_80,User_80,Crond_94]","[Register_307,Opened_309,Register_340]","[none_543,none_545,none_582]"
12,84137,"['18', '40', '48', '40', '40', '48', '40', '40', '48', '4', '1', '8']","[Ntpd_178,Dhcpd_106,Dhcpd_106,Dhcpd_106,Dhcpd_106,Dhcpd_106,Dhcpd_106,Dhcpd_106,Dhcpd_106,User_80,User_80,Crond_94]","[Synchronized_589,none_368,Dhcprequest_373,none_368,none_368,Dhcprequest_373,none_368,none_368,Dhcprequest_373,Register_307,Opened_309,Register_340]","[none_897,no free leases_615,unknown_623,no free leases_615,no free leases_615,unknown_623,no free leases_615,no free leases_615,unknown_623,none_543,none_545,none_582]"
13,23461,"['10', '2', '9', '2']","[ServerAdministrator_72,Snmpd_226,ServerAdministrator_72,Snmpd_226]","[ReturningTo_290,Receiving_748,Initialize_291,Receiving_748]","[normal_525,none_1082,none_526,none_1082]"
14,70843,"['10', '2', '9', '2', '10', '2', '9', '2', '10', '2']","[ServerAdministrator_72,Snmpd_226,ServerAdministrator_72,Snmpd_226,ServerAdministrator_72,Snmpd_226,ServerAdministrator_72,Snmpd_226,ServerAdministrator_72,Snmpd_226]","[ReturningTo_290,Receiving_748,Initialize_291,Receiving_748,ReturningTo_290,Receiving_748,Initialize_291,Receiving_748,ReturningTo_290,Receiving_748]","[normal_525,none_1082,none_526,none_1082,normal_525,none_1082,none_526,none_1082,normal_525,none_1082]"
