path_layer,entity_identifier,action_identifier,status_identifier,logkey_seq,path_summary,path_pred,path_reason
STATUS,ServerAdministrator_72,ReturningTo_290,normal_525,['10'],Temperature sensor returning to normal value,0,GT
STATUS,Snmpd_226,Receiving_748,none_1082,['2'],snmpd receiving trap from peer,0,GT
STATUS,ServerAdministrator_72,Initialize_291,none_526,['9'],Server Administrator temperature sensor value,0,GT
STATUS,User_80,Opened_309,none_545,['1'],session opened for user,0,GT
STATUS,Crond_94,Register_340,none_582,['8'],crond executing CMD,0,GT
STATUS,Sendmail_222,Retrying_704,unknown_1029,['29'],sendmail retrying unknown host name,0,GT
STATUS,Sendmail_222,UnableToQualifyDomainName_719,error_1048,['42'],sendmail error unable to qualify domain name,0,GT
STATUS,User_80,Register_307,none_543,['4'],session closed for user,0,GT
STATUS,Sendmail_222,SendingEmail_715,none_1044,['45'],sendmail sending email,0,GT
STATUS,Sendmail_222,Start_709,deferred_1035,['46'],sendmail sending deferred,0,GT
STATUS,Xinetd_256,none_835,"none_1190,none_1190","['16', '16']",The system executes the xinetd process twice sequentially.,0,GT
STATUS,Sshd_228,Connecting_786,none_1134,['5'],sshd connecting from port,0,GT
STATUS,Xinetd_256,none_835,none_1190,['16'],xinetd process,0,GT
STATUS,Client_92,DoesNotAccept_335,none_573,['118'],tftpd client does not accept,0,GT
STATUS,Dhcpd_106,Dhcpdiscover_367,none_614,['58'],DHCPDISCOVER from eth,0,GT
STATUS,Dhcpd_106,none_368,"none_616,none_616","['36', '36']",The system executed the DHCPD service via the Ethernet interface twice in a sequential manner.,0,GT
STATUS,Dhcpd_106,Settingup_376,none_630,['63'],dhcpd DHCPREQUEST,0,GT
STATUS,Dhcpd_106,none_368,none_616,['36'],dhcpd via eth,0,GT
STATUS,Dhcpd_106,Dhcpdiscover_367,"none_614,none_614","['58', '58']","The system first sends a DHCPDISCOVER message from the eth interface, followed by another DHCPDISCOVER message from the same eth interface.",0,GT
STATUS,Ntpd_178,Synchronized_589,none_897,['18'],ntpd synchronized to stratum,0,GT
STATUS,Dhcpd_106,none_368,no free leases_615,['40'],DHCPDISCOVER with no free leases,0,GT
STATUS,Dhcpd_106,Dhcprequest_373,unknown_623,['48'],DHCPREQUEST from unknown lease,0,GT
STATUS,Dhcpd_106,none_368,"no free leases_615,no free leases_615","['40', '40']",The system attempted to obtain a DHCP lease but found that there were no free leases available. This resulted in multiple DHCPDISCOVER requests being sent out sequentially.,0,GT
STATUS,Ibsm.x[]_131,Supports_451,"failed_719,failed_719,failed_719,failed_719","['14', '14', '14', '14']",The execution workflow consisted of four consecutive failed attempts to discover a node during the test.,0,GT
STATUS,Ibsm.x_130,Monitoring_430,"failed_694,failed_694,failed_694,failed_694","['12', '12', '12', '12']","The execution flow was unsuccessful at each step, with the process ""ib_sm.x"" failing consecutively from step 0 to step 3.",0,GT
STATUS,Ibsm.x_130,Discovery_439,"failed_704,failed_704,failed_704,failed_704","['13', '13', '13', '13']",The system execution encountered failures during the discovery phase for each step in the sequence.,0,GT
STATUS,Ibsm.x[]_131,Supports_451,"none_717,failed_719","['26', '14']","The system begins in the INIT state of ib_sm.x[], but fails during the discover node test.",0,GT
STATUS,Ibsm.x_130,Monitoring_430,failed_694,['12'],ib_sm.x failed,0,GT
STATUS,Ibsm.x_130,Discovery_439,failed_704,['13'],ib_sm.x discovery failed,0,GT
STATUS,Ibsm_129,none_422,"none_683,none_684,none_683","['17', '19', '17']","The system execution workflow involves the repeated execution of the ""ib_sm"" function in a sequential manner. Each iteration of the function is denoted by a numerical index starting from 0, progressing to 1, and continuing to 2. The workflow follows a consistent pattern of executing the ""ib_sm"" function at each step without deviation from this sequence.",0,GT
STATUS,Ibsm.x_130,Sweep_432,none_697,['25'],IB node port sweep,0,GT
STATUS,Ibsm.x[]_131,Supports_451,"failed_719,failed_719,failed_719","['14', '14', '14']",The sequence of execution involves multiple failed attempts at discovering a node.,0,GT
STATUS,Ibsm.x_130,Monitoring_430,"failed_694,failed_694,failed_694","['12', '12', '12']",The execution workflow consists of multiple instances of ib_sm.x failing consecutively.,0,GT
STATUS,Ibsm.x_130,Discovery_439,"failed_704,failed_704,failed_704","['13', '13', '13']",The execution flow consists of three occurrences where 'ib_sm.x discovery failed' occurred sequentially.,0,GT
