"id","log sequence","prediction","anomaly_explanation","anomaly_range","anomaly_level"
0,"[start,pause,stop]",0,"",[],""
1,"[start,running,stop]",0,"",[],""
2,"[start,pause,restart]",0,"",[],""
3,"[start,running,start]",1,"system restarts during running","[1,2]","status"
4,"[start,stop,start]",1,"unexpected restart after stop","[0,1]","critical"
5,"[start,running,pause,stop]",0,"",[],""
6,"[start,running,running,stop]",1,"duplicate running state detected","[1,2]","warning"
7,"[start,pause,pause,stop]",1,"duplicate pause state detected","[1,2]","warning"
8,"[start,running,stop,start]",1,"restart after stop detected","[2,3]","status"
9,"[start,pause,running,stop]",0,"",[],""
10,"[start,pause,running,stop,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon, start,pause,running,stop,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon,dragon]",1,"restart after stop detected","[48,52]","status"
11,"[start,pause,stop]",0,"",[],""
12,"[start,running,stop]",0,"",[],""
13,"[start,pause,restart]",0,"",[],""
14,"[start,running,start]",1,"system restarts during running","[1,2]","status"
15,"[start,stop,start]",1,"unexpected restart after stop","[0,1]","critical"
16,"[start,running,pause,stop]",0,"",[],""
17,"[start,running,running,stop]",1,"duplicate running state detected","[1,2]","warning"
18,"[start,pause,pause,stop]",1,"duplicate pause state detected","[1,2]","warning"
19,"[start,running,stop,start]",1,"restart after stop detected","[2,3]","status"
20,"[start,pause,running,stop]",0,"",[],""
21,"[start,pause,stop]",0,"",[],""
22,"[start,running,stop]",0,"",[],""
23,"[start,pause,restart]",0,"",[],""
24,"[start,running,start]",1,"system restarts during running","[1,2]","status"
25,"[start,stop,start]",1,"unexpected restart after stop","[0,1]","critical"
26,"[start,running,pause,stop]",0,"",[],""
27,"[start,running,running,stop]",1,"duplicate running state detected","[1,2]","warning"
28,"[start,pause,pause,stop]",1,"duplicate pause state detected","[1,2]","warning"
29,"[start,running,stop,start]",1,"restart after stop detected","[2,3]","status"
30,"[start,pause,running,stop]",0,"",[],""
