,seq_id,seq,entity_nodes_for_logkeys,action_nodes_for_logkeys,status_nodes_for_logkeys
0,339395,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2]","[block blk_6,block blk_6,block blk_6,NameSystem_2,blk_4,blk_4,blk_4,blk_4,blk_4,blk_4,NameSystem_2,NameSystem_2,NameSystem_2]","[receiving_28,receiving_28,receiving_28,allocate_4,none_22,writing_23,none_22,writing_23,none_22,writing_23,add_3,add_3,add_3]","[none_40,none_40,none_40,none_4,none_31,none_32,none_31,none_32,none_31,none_32,updated_3,updated_3,updated_3]"
1,466051,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]","[block blk_6,block blk_6,block blk_6,NameSystem_2,blk_4,blk_4,blk_4,blk_4,blk_4,blk_4,NameSystem_2,NameSystem_2,NameSystem_2,blk_4,blk_4,blk_4,block blk file_7,block blk file_7,block blk file_7]","[receiving_28,receiving_28,receiving_28,allocate_4,none_22,writing_23,none_22,writing_23,none_22,writing_23,add_3,add_3,add_3,delete_24,delete_24,delete_24,deleting_34,deleting_34,deleting_34]","[none_40,none_40,none_40,none_4,none_31,none_32,none_31,none_32,none_31,none_32,updated_3,updated_3,updated_3,invalid_34,invalid_34,invalid_34,none_46,none_46,none_46]"
2,489810,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2]","[block blk_6,block blk_6,block blk_6,NameSystem_2,blk_4,blk_4,blk_4,blk_4,blk_4,blk_4,NameSystem_2,NameSystem_2,NameSystem_2]","[receiving_28,receiving_28,receiving_28,allocate_4,none_22,writing_23,none_22,writing_23,none_22,writing_23,add_3,add_3,add_3]","[none_40,none_40,none_40,none_4,none_31,none_32,none_31,none_32,none_31,none_32,updated_3,updated_3,updated_3]"
3,374726,"[1, 1, 7, 1, 3, 4, 2, 3, 4, 3, 4, 2, 2, 6, 6, 6, 5, 5, 5]","[block blk_6,block blk_6,NameSystem_2,block blk_6,blk_4,blk_4,NameSystem_2,blk_4,blk_4,blk_4,blk_4,NameSystem_2,NameSystem_2,blk_4,blk_4,blk_4,block blk file_7,block blk file_7,block blk file_7]","[receiving_28,receiving_28,allocate_4,receiving_28,none_22,writing_23,add_3,none_22,writing_23,none_22,writing_23,add_3,add_3,delete_24,delete_24,delete_24,deleting_34,deleting_34,deleting_34]","[none_40,none_40,none_4,none_40,none_31,none_32,updated_3,none_31,none_32,none_31,none_32,updated_3,updated_3,invalid_34,invalid_34,invalid_34,none_46,none_46,none_46]"
4,162514,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 8, 8, 9, 8, 8, 9, 6, 6, 6, 5, 5, 5]","[block blk_6,block blk_6,block blk_6,NameSystem_2,blk_4,blk_4,blk_4,blk_4,blk_4,blk_4,NameSystem_2,NameSystem_2,NameSystem_2,/_0,/_0,blk_4,/_0,/_0,blk_4,blk_4,blk_4,blk_4,block blk file_7,block blk file_7,block blk file_7]","[receiving_28,receiving_28,receiving_28,allocate_4,none_22,writing_23,none_22,writing_23,none_22,writing_23,add_3,add_3,add_3,serving_0,serving_0,transfer_13,serving_0,serving_0,transfer_13,delete_24,delete_24,delete_24,deleting_34,deleting_34,deleting_34]","[none_40,none_40,none_40,none_4,none_31,none_32,none_31,none_32,none_31,none_32,updated_3,updated_3,updated_3,none_0,none_0,exception_21,none_0,none_0,exception_21,invalid_34,invalid_34,invalid_34,none_46,none_46,none_46]"
5,439854,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]","[block blk_6,block blk_6,block blk_6,NameSystem_2,blk_4,blk_4,blk_4,blk_4,blk_4,blk_4,NameSystem_2,NameSystem_2,NameSystem_2,blk_4,blk_4,blk_4,block blk file_7,block blk file_7,block blk file_7]","[receiving_28,receiving_28,receiving_28,allocate_4,none_22,writing_23,none_22,writing_23,none_22,writing_23,add_3,add_3,add_3,delete_24,delete_24,delete_24,deleting_34,deleting_34,deleting_34]","[none_40,none_40,none_40,none_4,none_31,none_32,none_31,none_32,none_31,none_32,updated_3,updated_3,updated_3,invalid_34,invalid_34,invalid_34,none_46,none_46,none_46]"
6,145653,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 10, 8, 8, 9, 8, 8, 9, 6, 6, 6, 5, 5, 5]","[block blk_6,block blk_6,block blk_6,NameSystem_2,blk_4,blk_4,blk_4,blk_4,blk_4,blk_4,NameSystem_2,NameSystem_2,NameSystem_2,blk_4,/_0,/_0,blk_4,/_0,/_0,blk_4,blk_4,blk_4,blk_4,block blk file_7,block blk file_7,block blk file_7]","[receiving_28,receiving_28,receiving_28,allocate_4,none_22,writing_23,none_22,writing_23,none_22,writing_23,add_3,add_3,add_3,verification_25,serving_0,serving_0,transfer_13,serving_0,serving_0,transfer_13,delete_24,delete_24,delete_24,deleting_34,deleting_34,deleting_34]","[none_40,none_40,none_40,none_4,none_31,none_32,none_31,none_32,none_31,none_32,updated_3,updated_3,updated_3,successful_35,none_0,none_0,exception_21,none_0,none_0,exception_21,invalid_34,invalid_34,invalid_34,none_46,none_46,none_46]"
7,360557,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 10, 6, 6, 6, 5, 5, 5]","[block blk_6,block blk_6,block blk_6,NameSystem_2,blk_4,blk_4,blk_4,blk_4,blk_4,blk_4,NameSystem_2,NameSystem_2,NameSystem_2,blk_4,blk_4,blk_4,blk_4,block blk file_7,block blk file_7,block blk file_7]","[receiving_28,receiving_28,receiving_28,allocate_4,none_22,writing_23,none_22,writing_23,none_22,writing_23,add_3,add_3,add_3,verification_25,delete_24,delete_24,delete_24,deleting_34,deleting_34,deleting_34]","[none_40,none_40,none_40,none_4,none_31,none_32,none_31,none_32,none_31,none_32,updated_3,updated_3,updated_3,successful_35,invalid_34,invalid_34,invalid_34,none_46,none_46,none_46]"
8,157912,"[1, 1, 1, 7, 3, 4, 3, 4, 2, 2, 3, 4, 2, 8, 9, 8, 8, 9, 8, 6, 6, 6, 5, 5, 5]","[block blk_6,block blk_6,block blk_6,NameSystem_2,blk_4,blk_4,blk_4,blk_4,NameSystem_2,NameSystem_2,blk_4,blk_4,NameSystem_2,/_0,blk_4,/_0,/_0,blk_4,/_0,blk_4,blk_4,blk_4,block blk file_7,block blk file_7,block blk file_7]","[receiving_28,receiving_28,receiving_28,allocate_4,none_22,writing_23,none_22,writing_23,add_3,add_3,none_22,writing_23,add_3,serving_0,transfer_13,serving_0,serving_0,transfer_13,serving_0,delete_24,delete_24,delete_24,deleting_34,deleting_34,deleting_34]","[none_40,none_40,none_40,none_4,none_31,none_32,none_31,none_32,updated_3,updated_3,none_31,none_32,updated_3,none_0,exception_21,none_0,none_0,exception_21,none_0,invalid_34,invalid_34,invalid_34,none_46,none_46,none_46]"
9,53748,"[7, 1, 1, 1, 2, 2, 2, 3, 4, 3, 4, 3, 4, 6, 6, 6, 5, 5, 5]","[NameSystem_2,block blk_6,block blk_6,block blk_6,NameSystem_2,NameSystem_2,NameSystem_2,blk_4,blk_4,blk_4,blk_4,blk_4,blk_4,blk_4,blk_4,blk_4,block blk file_7,block blk file_7,block blk file_7]","[allocate_4,receiving_28,receiving_28,receiving_28,add_3,add_3,add_3,none_22,writing_23,none_22,writing_23,none_22,writing_23,delete_24,delete_24,delete_24,deleting_34,deleting_34,deleting_34]","[none_4,none_40,none_40,none_40,updated_3,updated_3,updated_3,none_31,none_32,none_31,none_32,none_31,none_32,invalid_34,invalid_34,invalid_34,none_46,none_46,none_46]"
